Sydney,12229.11,46.47,2,87.35,279,220
Melbourne,10103.28,34.27,2,86.44,281,236
Brisbane,15441.89,509.14,2,72.46,236,163
Perth,6309.49,38.66,1,73.54,173,111
Adelaide,3239.1,28.47,2,86.88,109,87
Gold Coast-Tweed Heads,1811.08,193.87,1,55.45,47,26
Vienna,9093.06,221.99,1,64.06,313,1
Graz,3074.2,871.29,1,43.95,174,1
Linz,3523.72,1691.99,1,31.36,140,1
Brussels,3265.7,285.32,1,45.11,99,19
Antwerp,1169.26,306.34,1,46.97,32,1
Ghent,1017.36,724.71,1,42.99,24,1
Liege,1414.19,483.11,1,51.39,45,7
Vancouver,5063.57,98.6,1,94.09,44,36
Montreal,10962.77,712.34,6,75.97,191,40
Toronto,14412.81,1297.8,2,87.36,50,15
Edmonton,19808.01,4880.08,1,75.44,67,9
Calgary,12478.49,1053.11,1,83.3,21,1
Winnipeg,21715.54,4472.74,1,81.35,42,1
Quebec,6123.6,1590,1,65.8,58,5
Ottawa-Gatineau,17251.92,3854.73,1,81.42,63,2
Hamilton,2571.88,2782.48,1,85.8,6,1
Zurich,1176.16,268.55,1,29.74,140,1
Geneva,1566.51,663.25,2,33.01,193,13
Basel,1430.18,367.29,1,21.28,167,1
Valparaíso,1323.84,3.41,1,91.5,6,4
Santiago,4557.33,17.48,1,93.73,47,39
Concepción,1868.67,6.57,1,50.09,9,3
Prague,3929.04,264.05,2,69.73,435,2
Brno,2359.25,439.66,2,56.95,245,1
Ostrava,931.72,496.45,2,68.85,67,2
Berlin,6176.37,206,1,78.82,276,9
Hamburg,5760.18,914.18,1,57.15,308,1
Munich,6263.09,539.85,1,48.55,212,1
Cologne,1971.56,70.32,1,59.58,25,2
Frankfurt,3888.09,100.16,2,35.18,109,3
Stuttgart,1987.61,176.34,2,39.05,95,3
Essen,344.67,42.28,1,90.23,3,2
Leipzig,2121.96,366.33,1,62.15,62,1
Dresden,1716.19,508.28,1,63.31,41,1
Dortmund,547.87,65.89,1,70.06,6,1
Düsseldorf,1132.95,53.82,1,52.56,17,2
Bremen,3176.34,1421.46,1,53.17,61,1
Hanover,3090.73,562.78,1,41.66,55,1
Nuremberg,3122.57,677.73,1,52.19,105,2
Bochum,319.87,28.62,2,79.92,4,2
Freiburg im Breisgau,1515.07,580.87,1,40.71,58,1
Augsburg,1803.5,736.79,1,45.53,66,1
Bonn,1066.66,115.29,1,48.44,31,2
Karlsruhe,1323.91,220.19,1,42.9,62,1
Saarbrücken,1040.99,332.25,1,30.43,34,1
Duisburg,671.31,127.96,1,72.87,9,2
Mannheim,1949.78,84.1,1,39.67,115,3
Münster,1706.47,892.37,1,54.81,18,1
Aachen,775.3,249,1,41.01,12,1
Copenhagen,4083.69,376.18,1,60.23,57,17
Tallinn,4326.3,1469.15,1,75.04,28,1
Madrid,11537.63,24.23,2,74.36,272,15
Barcelona,1362.03,2.29,3,75.6,75,13
Valencia,1474.97,14.28,1,48.49,56,1
Seville,4164.31,13.16,1,55.96,42,2
Zaragoza,11890.63,52.95,1,79.8,210,1
Málaga,1623.07,25.81,1,72.09,24,2
Las Palmas,790.06,80.44,1,72.45,16,2
Bilbao,1141.01,207.5,2,52.6,57,3
Helsinki,6350.71,77.38,1,69.5,22,4
Paris,12089.37,88.93,5,79.18,1375,311
Lyon,3647.29,471.5,3,67.9,327,59
Marseille,4230.79,46.6,1,86.75,132,64
Toulouse,5242.14,166.76,1,56.64,434,37
Strasbourg,2030.87,352.98,1,61.07,250,28
Bordeaux,5485.85,1258.52,1,62.57,243,27
Nantes,3143.52,566.3,1,65.93,108,24
Lille,1453.1,40.62,2,82.39,179,87
Montpellier,2236.6,191.76,1,65.11,134,31
Saint-Étienne,1799.48,1104.98,1,70.57,117,42
Rennes,3815.73,475.77,2,57.82,190,37
Grenoble,2694.43,1081.53,1,60.59,193,27
Toulon,1048.19,13.38,1,76.51,35,12
Nice,3096.9,226.02,1,81.07,135,42
Rouen,2870.11,657.58,1,70.17,346,71
Athens,1656.14,0.97,1,76.82,94,49
Thessalonica,1399.95,41.15,1,30.42,28,1
Budapest,6056.87,412.23,1,58.79,183,1
Dublin,4767.19,19.52,1,74.46,7,4
Rome,5686.46,224.78,1,63.59,147,1
Milan,2637.77,22.4,1,74.54,252,115
Naples,1558.57,12.92,2,86.98,116,81
Turin,1781.34,238.79,1,49.28,89,1
Palermo,835.58,44.52,1,69.03,25,1
Genova,1113.59,336.86,1,81.88,38,1
Florence,1737.87,500.36,1,48.95,24,1
Bari,754.98,0.74,1,54.09,17,1
Bologna,2036.1,183.8,1,48.62,32,1
Catania,609.35,35.05,1,45.71,21,1
Venice,1089.17,1.18,1,47.38,14,1
Sendai,1658.58,24.43,1,78.51,22,8
Sapporo,2174.93,166.29,1,93.38,15,11
Tokyo,8592.12,4.56,1,93.66,235,170
Nagoya,3943.23,7.46,1,82.96,81,51
Osaka,7003.88,10.9,1,91.61,160,115
Fukuoka,1153.78,6.44,1,80.96,29,16
Niigata,1538.91,163.66,1,75.83,8,1
Toyama,1563.38,331.23,1,77.69,7,1
Nagano,1241.81,255.33,1,69.89,10,1
Kanazawa,1282.8,125.69,1,69.12,8,2
Utsunomiya,989.68,89,1,63.04,11,2
Maebashi,1188.35,38.27,1,64.19,19,4
Mito,644.15,69.42,1,45.76,7,1
Kofu,790.85,37.13,1,51.88,11,2
Numazu,482.25,32.02,1,90.76,7,6
Shizuoka,1171.16,12.91,1,97.22,5,3
Anjo,284.03,0.82,1,86,8,7
