Variables,,Total land area (km2),Metropolitan land share of national value (%),Green area per million people (square meters per million person),Urban form,,Territorial organisation,,,
,,,,,Polycentricity,Concentration of population in the core (%),Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Ratio,Number,Percentage,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,
AUS: Australia,,7703354,..,..,..,..,..,..,..,..
  AUS01: Sydney,,12229.11,0.16,46.47,2,87.35,279,220,5.76,17349.92
  AUS02: Melbourne,,10103.28,0.13,34.27,2,86.44,281,236,6.33,15801.88
  AUS03: Brisbane,,15441.89,0.2,509.14,2,72.46,236,163,10.38,9637.97
  AUS04: Perth,,6309.49,0.08,38.66,1,73.54,173,111,8.56,11683.25
  AUS05: Adelaide,,3239.1,0.04,28.47,2,86.88,109,87,8.35,11969.09
  AUS06: Gold Coast-Tweed Heads,,1811.08,0.02,193.87,1,55.45,47,26,8.39,11920.55
AUT: Austria,,82409,..,..,..,..,..,..,..,..
  AT001: Vienna,,9093.06,11.03,221.99,1,64.06,313,1,11.2,8925.34
  AT002: Graz,,3074.2,3.73,871.29,1,43.95,174,1,27.48,3638.9
  AT003: Linz,,3523.72,4.28,1691.99,1,31.36,140,1,22.7,4405.92
BEL: Belgium,,30326,..,..,..,..,..,..,..,..
  BE001: Brussels,,3265.7,10.77,285.32,1,45.11,99,19,3.83,26142.44
  BE002: Antwerp,,1169.26,3.86,306.34,1,46.97,32,1,2.96,33809.5
  BE003: Ghent,,1017.36,3.35,724.71,1,42.99,24,1,4.05,24670.83
  BE005: Liege,,1414.19,4.66,483.11,1,51.39,45,7,6.08,16439.96
CAN: Canada,,9093507,..,..,..,..,..,..,..,..
  CAN09: Vancouver,,5063.57,0.06,98.6,1,94.09,44,36,1.77,56355.07
  CAN20: Montreal,,10962.77,0.12,712.34,6,75.97,191,40,4.35,23007.68
  CAN26: Toronto,,14412.81,0.16,1297.8,2,87.36,50,15,0.72,138944.58
  CAN01: Edmonton,,19808.01,0.22,4880.08,1,75.44,67,9,5.22,19149.99
  CAN04: Calgary,,12478.49,0.14,1053.11,1,83.3,21,1,1.48,67507.67
  CAN06: Winnipeg,,21715.54,0.24,4472.74,1,81.35,42,1,5.02,19914.67
  CAN16: Quebec,,6123.6,0.07,1590,1,65.8,58,5,6.7,14929.76
  CAN21: Ottawa-Gatineau,,17251.92,0.19,3854.73,1,81.42,63,2,4.26,23458.43
  CAN29: Hamilton,,2571.88,0.03,2782.48,1,85.8,6,1,0.97,103170.67
CHE: Switzerland,,39995.8,..,..,..,..,..,..,..,..
  CH001: Zurich,,1176.16,2.94,268.55,1,29.74,140,1,11.23,8906.91
  CH002: Geneva,,1566.51,3.92,663.25,2,33.01,193,13,23.21,4308.04
  CH003: Basel,,1430.18,3.58,367.29,1,21.28,167,1,21.4,4671.99
CHL: Chile,,740243,..,..,..,..,..,..,..,..
  CL010: Valparaíso,,1323.84,0.18,3.41,1,91.5,6,4,0.6,167789.5
  CL011: Santiago,,4557.33,0.62,17.48,1,93.73,47,39,0.7,142113.04
  CL020: Concepción,,1868.67,0.25,6.57,1,50.09,9,3,0.98,101640.44
CZE: Czech Republic,,77226.5,..,..,..,..,..,..,..,..
  CZ001: Prague,,3929.04,5.09,264.05,2,69.73,435,2,22.77,4391.71
  CZ002: Brno,,2359.25,3.05,439.66,2,56.95,245,1,37.9,2638.45
  CZ003: Ostrava,,931.72,1.21,496.45,2,68.85,67,2,11.94,8376.75
DEU: Germany,,357122,..,..,..,..,..,..,..,..
  DE001: Berlin,,6176.37,1.73,206,1,78.82,276,9,6.27,15940.37
  DE002: Hamburg,,5760.18,1.61,914.18,1,57.15,308,1,10.24,9768.96
  DE003: Munich,,6263.09,1.75,539.85,1,48.55,212,1,7.15,13989.96
  DE004: Cologne,,1971.56,0.55,70.32,1,59.58,25,2,1.3,77042.92
  DE005: Frankfurt,,3888.09,1.09,100.16,2,35.18,109,3,4.3,23241.39
  DE007: Stuttgart,,1987.61,0.56,176.34,2,39.05,95,3,4.83,20694.13
  DE006: Essen,,344.67,0.1,42.28,1,90.23,3,2,0.4,247100.33
  DE008: Leipzig,,2121.96,0.59,366.33,1,62.15,62,1,7.47,13392.23
  DE009: Dresden,,1716.19,0.48,508.28,1,63.31,41,1,4.84,20673.17
  DE010: Dortmund,,547.87,0.15,65.89,1,70.06,6,1,0.75,134113
  DE011: Düsseldorf,,1132.95,0.32,53.82,1,52.56,17,2,1.19,83989.59
  DE012: Bremen,,3176.34,0.89,1421.46,1,53.17,61,1,5.94,16839.21
  DE013: Hanover,,3090.73,0.87,562.78,1,41.66,55,1,4.52,22136.56
  DE014: Nuremberg,,3122.57,0.87,677.73,1,52.19,105,2,8.98,11136.83
  DE015: Bochum,,319.87,0.09,28.62,2,79.92,4,2,0.64,155615.75
  DE027: Freiburg im Breisgau,,1515.07,0.42,580.87,1,40.71,58,1,10.81,9251.34
  DE033: Augsburg,,1803.5,0.51,736.79,1,45.53,66,1,10.89,9186.15
  DE034: Bonn,,1066.66,0.3,115.29,1,48.44,31,2,4.13,24205.48
  DE035: Karlsruhe,,1323.91,0.37,220.19,1,42.9,62,1,8.92,11211.26
  DE040: Saarbrücken,,1040.99,0.29,332.25,1,30.43,34,1,5.96,16778.79
  DE501: Duisburg,,671.31,0.19,127.96,1,72.87,9,2,1.13,88164.11
  DE502: Mannheim,,1949.78,0.55,84.1,1,39.67,115,3,9.35,10698.05
  DE504: Münster,,1706.47,0.48,892.37,1,54.81,18,1,3.22,31084.11
  DE507: Aachen,,775.3,0.22,249,1,41.01,12,1,2.08,47989.67
DNK: Denmark,,42959,..,..,..,..,..,..,..,..
  DK001: Copenhagen,,4083.69,9.51,376.18,1,60.23,57,17,2.81,35529.32
EST: Estonia,,43432,..,..,..,..,..,..,..,..
  EE001: Tallinn,,4326.3,9.96,1469.15,1,75.04,28,1,5.28,18947.5
ESP: Spain,,501756.9,..,..,..,..,..,..,..,..
  ES001: Madrid,,11537.63,2.3,24.23,2,74.36,272,15,3.84,26026.37
  ES002: Barcelona,,1362.03,0.27,2.29,3,75.6,75,13,1.95,51289.29
  ES003: Valencia,,1474.97,0.29,14.28,1,48.49,56,1,3.36,29788.45
  ES004: Seville,,4164.31,0.83,13.16,1,55.96,42,2,2.8,35729.62
  ES005: Zaragoza,,11890.63,2.37,52.95,1,79.8,210,1,23.87,4189.51
  ES006: Málaga,,1623.07,0.32,25.81,1,72.09,24,2,2.67,37427.21
  ES008: Las Palmas,,790.06,0.16,80.44,1,72.45,16,2,2.34,42697.44
  ES019: Bilbao,,1141.01,0.23,207.5,2,52.6,57,3,5.62,17786.05
FIN: Finland,,303890.9,..,..,..,..,..,..,..,..
  FI001: Helsinki,,6350.71,2.09,77.38,1,69.5,22,4,1.47,68093.18
FRA: France,,543965,..,..,..,..,..,..,..,..
  FR001: Paris,,12089.37,2.22,88.93,5,79.18,1375,311,11.42,8754.83
  FR003: Lyon,,3647.29,0.67,471.5,3,67.9,327,59,16.68,5996.47
  FR203: Marseille,,4230.79,0.78,46.6,1,86.75,132,64,7.44,13435.63
  FR004: Toulouse,,5242.14,0.96,166.76,1,56.64,434,37,33.15,3016.47
  FR006: Strasbourg,,2030.87,0.37,352.98,1,61.07,250,28,32.19,3106.34
  FR007: Bordeaux,,5485.85,1.01,1258.52,1,62.57,243,27,20.67,4838.27
  FR008: Nantes,,3143.52,0.58,566.3,1,65.93,108,24,11.86,8430.49
  FR009: Lille,,1453.1,0.27,40.62,2,82.39,179,87,13.13,7617.12
