Variables,,Total land area (km2),Metropolitan land share of national value (%),Urbanised area (km2),Urbanised area share (%),Green area per million people (square meters per million person),Urban form,,,Territorial organisation,,,
,,,,,,,Polycentricity,Concentration of population in the core (%),Sprawl index,Local governments (count),Local governments in the core (count),Territorial fragmentation,Average population size of local government
Unit,,Square kilometres,Percentage,Square kilometres,Percentage,Ratio,Number,Percentage,Index,Number,Number,Per 100 000 inhabitants,Ratio
Metropolitan areas,,,,,,,,,,,,,
AUS: Australia,,7703354,..,..,..,..,..,..,..,..,..,..,..
  AUS01: Sydney,,12229.11,0.16,..,..,52.86,2,87.06,..,279,220,6.56,15255.06
  AUS02: Melbourne,,10103.28,0.13,..,..,40.47,2,87.32,..,281,236,7.47,13383.49
  AUS03: Brisbane,,15441.89,0.2,..,..,606.88,2,73.92,..,236,163,12.37,8085.87
  AUS04: Perth,,6309.49,0.08,..,..,49.55,1,77.13,..,173,111,10.97,9115.1
  AUS05: Adelaide,,3239.1,0.04,..,..,31.23,2,87.98,..,109,87,9.17,10910.49
  AUS06: Gold Coast-Tweed Heads,,1811.08,0.02,..,..,234.82,1,59.61,..,47,26,10.16,9841.98
AUT: Austria,,82450.2,..,..,..,..,..,..,..,..,..,..,..
  AT001: Vienna,,9093.06,11.03,961.98,10.58,240.53,1,63.54,-4.55,313,1,12.14,8237.32
  AT002: Graz,,3074.2,3.73,267.27,8.69,942.72,1,41.87,-4.62,174,1,29.73,3363.17
  AT003: Linz,,3523.72,4.27,212.38,6.03,1749.38,1,31.39,0.66,140,1,23.47,4261.4
BEL: Belgium,,30328,..,..,..,..,..,..,..,..,..,..,..
  BE001: Brussels,,3265.7,10.77,1014.37,31.06,309.2,1,43.69,-5.87,99,19,4.15,24122.79
  BE002: Antwerp,,1169.26,3.86,459.02,39.26,322.86,1,45.79,-2.75,32,1,3.12,32079.31
  BE003: Ghent,,1017.36,3.35,295.85,29.08,764.59,1,42.09,-3,24,1,4.28,23384.04
