0,1,2,3,4,5,6,7,8,9,10
Mexico City,19.432608,-99.133208,5101.68,0.26,733.2098291887027,29.4,1,96.06,55,39
Tokyo,35.681382,139.766084,8592.12,2.3,4160.36,4.82,1,93.3,235,170
New York,40.6643,-73.9385,9882.07,0.11,5191.16,40.22,2,97.56,356,323
London,51.507351,-0.127758,6920.87,2.85,2421.78,38.79,6,79.55,47,40
Toronto,43.653226,-79.383184,14412.81,0.16,2071.3988251378414,1511.47,2,87.78,50,15
Sydney,-33.867487,151.20699,12229.11,0.16,1757.5590108022955,52.86,2,87.06,279,220
Melbourne,-37.814107,144.96328,10103.28,0.13,1452.0362317992572,40.47,2,87.32,281,236
Los Angeles,34.0194,-118.4108,83682.18,0.91,8418.85,5.48,1,100.0,169,169
Busan,35.179554,129.075642,724.77,0.73,104.1634300663891,8.93,2,95.92,218,205
Berlin,52.5170365,13.3888599,6176.37,1.73,1233.73,208.14,1,80.4,276,9
Montreal,45.501689,-73.567256,10962.77,0.12,1575.5615246614905,791.84,6,78.02,191,40
Madrid,40.416775,-3.70379,11537.63,2.3,984.54,28.44,2,79.86,272,15
Rome,41.902784,12.496366,5686.46,1.93,669.84,240.49,1,66.57,147,1
Chicago,41.8376,-87.6818,18910.46,0.21,6302.59,427.11,1,96.73,540,226
Osaka,34.653345,135.511968,7003.88,1.88,2185.26,11.01,1,91.32,160,115
Daegu,35.871435,128.601445,1113.43,1.12,160.02136945350887,33.97,1,94.54,155,143
Valencia,10.157931,-67.99721,1474.97,0.29,191.05,16.07,1,51.6,56,1
Paris,48.856614,2.352222,12089.37,2.22,2416.36,94.14,5,79.47,1375,311
Nagoya,35.136395,136.934833,3943.23,1.06,1233.21,7.67,1,82.72,81,51
Houston,29.7805,-95.3863,22488.43,0.25,4827.18,715.86,1,90.33,109,44
Vancouver,49.282729,-123.120738,5063.57,0.06,727.7326870334946,114.35,1,93.59,44,36
Brisbane,-27.471011,153.023449,15441.89,0.2,2219.297472450396,606.88,2,73.92,236,163
Sapporo,43.06208,141.354361,2174.93,0.58,394.83,171.06,1,93.08,15,11
Perth,-31.953513,115.857047,6309.49,0.08,906.7954252653687,49.55,1,77.13,173,111
Hamburg,53.5437641,10.0099133,5760.18,1.61,894.16,928.57,1,57.96,308,1
Budapest,47.497912,19.040235,6056.87,6.51,949.41,421.13,1,61.9,183,1
Vienna,48.208174,16.373819,9093.06,11.03,961.98,240.53,1,63.54,313,1
Warsaw,52.229676,21.012229,8611.73,2.75,743.18,1060.23,1,58.02,101,12
Barcelona,41.385064,2.173403,1362.03,0.27,415.27,2.5,3,77.27,75,13
Philadelphia,40.0094,-75.1333,4326.91,0.05,2103.98,380.63,1,100.0,202,202
Daejeon,36.350412,127.384548,995.6,1.0,143.08692547166268,33.46,1,95.6,87,74
Phoenix,33.5722,-112.088,23889.14,0.26,2668.25,10.98,1,100.0,24,24
Guadalajara,20.677504,-103.347824,2478.44,0.13,356.1996379730693,132.76,1,90.5,7,4
Gwangju,35.159545,126.852601,696.43,0.7,100.0904253778928,44.69,1,94.3,98,86
Puebla,19.103906,-98.188942,1343.51,0.07,193.0883037770526,130.1,1,76.98,11,2
Fukuoka,33.590355,130.401716,1153.78,0.31,380.48,6.82,1,80.23,29,16
San Antonio,29.4724,-98.5251,19126.6,0.21,2057.9,150.54,1,91.2,43,22
Munich,48.1372719,11.5754815,6263.09,1.75,704.83,586.49,1,47.39,212,1
Stockholm,59.329323,18.068581,7106.87,1.73,863.34,120.96,3,74.49,28,12
San Diego,32.8153,-117.135,11028.58,0.12,2030.81,11.17,1,100.0,18,18
Milan,45.465422,9.185924,2637.77,0.89,741.07,23.47,1,76.05,252,115
Tijuana,32.522984,-117.112586,1252.14,0.06,179.9566722178463,1.42,1,100.0,1,1
Prague,50.075538,14.4378,3929.04,5.09,586.43,286.7,2,72.45,435,2
Dallas,32.7757,-96.7967,12067.76,0.13,3032.58,235.62,1,92.54,117,82
Adelaide,-34.928621,138.599959,3239.1,0.04,465.52115337009116,31.23,2,87.98,109,87
Copenhagen,55.676097,12.568337,4083.69,9.48,807.63,389.5,1,59.99,57,17
Hiroshima,34.398205,132.475824,1193.35,0.32,212.15,11.75,1,95.39,14,11
Ulsan,35.538377,129.31136,726.67,0.73,104.43649671805258,60.64,1,90.66,51,44
Monterrey,25.592172,-99.996195,10984.38,0.56,1578.6672985259365,53.96,1,89.64,20,7
Calgary,51.048615,-114.070846,12478.49,0.14,1793.399727429579,1308.08,1,85.82,21,1
Changwon,35.270833,128.663056,166.53,0.17,23.93357342185214,1.65,1,100.0,40,38
Cologne,50.9383611,6.9599738,1971.56,0.55,482.84,72.01,1,58.39,25,2
Sendai,38.260297,140.882049,1658.58,0.44,382.33,25.1,1,78.4,22,8
Brussels,50.85034,4.35171,3265.7,10.77,1014.37,309.2,1,43.69,99,19
Naples,40.851775,14.268124,1558.57,0.53,363.76,13.05,2,87.4,116,81
Edmonton,53.544389,-113.490927,19808.01,0.22,2846.7931404298406,5918.52,1,76.89,67,9
Austin,30.3072,-97.756,11084.37,0.12,1660.73,183.4,1,70.49,44,26
Turin,45.070312,7.686856,1781.34,0.6,308.57,246.03,1,50.44,89,1
Marseille,43.296482,5.36978,4230.79,0.78,478.68,49.38,1,87.58,132,64
Indianapolis,39.7767,-86.1459,6929.77,0.08,1741.3,1097.71,1,56.8,138,24
Jacksonville,30.337,-81.6613,8871.53,0.1,1266.69,174.04,1,79.88,14,5
San Francisco,37.7751,-122.4193,17089.9,0.19,3648.6,24.18,2,69.48,93,62
Columbus,39.9848,-82.985,11491.61,0.13,1650.16,1800.1,1,79.43,205,42
Niigata,37.912027,139.061883,1538.91,0.41,303.78,161.91,1,74.94,8,1
Hamamatsu,34.711849,137.723736,1455.54,0.39,229.13,21.02,1,81.09,3,1
Chihuahua,28.636218,-106.094147,8861.48,0.45,1273.5656170436216,2.53,1,98.94,2,1
Valencia,39.469908,-0.376288,1474.97,0.29,191.05,16.07,1,51.6,56,1
Amsterdam,52.370216,4.895168,2819.84,8.35,592.55,223.33,4,68.74,57,9
Charlotte,35.2087,-80.8307,4016.56,0.04,1298.6,890.46,1,71.79,25,7
Fort Worth,32.7795,-97.3463,4681.62,0.05,1508.91,25.76,1,94.05,46,34
Leeds,53.800755,-1.549077,1726.0,0.71,334.15,181.08,1,91.85,3,2
Aguascalientes,21.881986,-102.291668,2308.08,0.12,331.71561966917966,249.82,1,84.99,4,1
Athens,37.983917,23.72936,1656.14,1.27,435.86,0.95,1,79.78,94,49
Hermosillo,29.078336,-110.95273,16926.97,0.86,2432.7321161621844,32.47,1,100.0,1,1
Shizuoka,34.97171,138.38884,1171.16,0.31,124.57,13.01,1,96.94,5,3
Saltillo,25.424175,-100.998635,5562.31,0.28,799.4112459022542,8.8,1,100.0,1,1
Seville,37.389092,-5.984459,4164.31,0.83,216.52,14.62,1,59.65,42,2
Okayama,34.666369,133.918588,1096.05,0.29,210.22,85.65,1,77.67,8,1
Mexicali,32.656793,-115.41553,15813.24,0.81,2272.667630921571,9.43,1,100.0,1,1
Detroit,42.383,-83.1022,5244.45,0.06,3142.47,533.35,1,100.0,131,131
