0,1,2,3,4,5,6,7,8
Sydney,12229.11,0.16,..,52.86,2,87.06,279,220
Melbourne,10103.28,0.13,..,40.47,2,87.32,281,236
Brisbane,15441.89,0.2,..,606.88,2,73.92,236,163
Perth,6309.49,0.08,..,49.55,1,77.13,173,111
Adelaide,3239.1,0.04,..,31.23,2,87.98,109,87
Gold Coast-Tweed Heads,1811.08,0.02,..,234.82,1,59.61,47,26
Vienna,9093.06,11.03,961.98,240.53,1,63.54,313,1
Graz,3074.2,3.73,267.27,942.72,1,41.87,174,1
Linz,3523.72,4.27,212.38,1749.38,1,31.39,140,1
Brussels,3265.7,10.77,1014.37,309.2,1,43.69,99,19
Antwerp,1169.26,3.86,459.02,322.86,1,45.79,32,1
Ghent,1017.36,3.35,295.85,764.59,1,42.09,24,1
Liege,1414.19,4.66,410.08,500.98,1,51.48,45,7
Vancouver,5063.57,0.06,..,114.35,1,93.59,44,36
Montreal,10962.77,0.12,..,791.84,6,78.02,191,40
Toronto,14412.81,0.16,..,1511.47,2,87.78,50,15
Edmonton,19808.01,0.22,..,5918.52,1,76.89,67,9
Calgary,12478.49,0.14,..,1308.08,1,85.82,21,1
Winnipeg,21715.54,0.24,..,4889.14,1,81.77,42,1
Quebec,6123.6,0.07,..,1791.28,1,67.19,58,5
Ottawa-Gatineau,17251.92,0.19,..,4429.28,1,80.96,63,2
Hamilton,2571.88,0.03,..,2975.75,1,85.93,6,1
Zurich,1176.16,2.94,309,286.69,1,31.38,140,1
Geneva,1566.51,3.92,228.58,742.01,2,34.77,193,13
Basel,1430.18,3.58,216.99,380.21,1,22.07,167,1
Valpara??so,1323.84,0.18,..,3.79,1,91.61,6,4
Santiago,4557.33,0.62,..,19,1,94.88,47,39
Concepci??n,1868.67,0.25,..,6.97,1,53.76,9,3
Prague,3929.04,5.09,586.43,286.7,2,72.45,435,2
Brno,2359.25,3.05,231.63,449.38,2,58.99,245,1
Ostrava,931.72,1.21,193.02,490.78,2,69.8,67,2
Berlin,6176.37,1.73,1233.73,208.14,1,80.4,276,9
Hamburg,5760.18,1.61,894.16,928.57,1,57.96,308,1
Munich,6263.09,1.75,704.83,586.49,1,47.39,212,1
Cologne,1971.56,0.55,482.84,72.01,1,58.39,25,2
Frankfurt,3888.09,1.09,622.84,101.37,2,34.63,109,3
Stuttgart,1987.61,0.56,410.32,178.32,2,39.27,95,3
Essen,344.67,0.1,183.85,40.54,1,90.21,3,2
Leipzig,2121.96,0.59,350.88,359.54,1,59.32,62,1
Dresden,1716.19,0.48,299.1,520.64,1,60.38,41,1
Dortmund,547.87,0.15,225.75,62.95,1,68.76,6,1
D??sseldorf,1132.95,0.32,357.48,53.78,1,51.17,17,2
Bremen,3176.34,0.89,373.37,1425.69,1,52.92,61,1
Hanover,3090.73,0.87,416.78,557.83,1,41.68,55,1
Nuremberg,3122.57,0.87,315.26,680.39,1,51.78,105,2
Bochum,319.87,0.09,171.39,26.57,2,80.28,4,2
Freiburg im Breisgau,1515.07,0.42,119.47,600.75,1,40.5,58,1
Augsburg,1803.5,0.51,187.61,756.98,1,44.55,66,1
Bonn,1066.66,0.3,195.51,116.62,1,48.5,31,2
Karlsruhe,1323.91,0.37,199.52,225.4,1,42.11,62,1
Saarbr??cken,1040.99,0.29,204.12,311.89,1,29.53,34,1
Duisburg,671.31,0.19,231.35,122.63,1,73.04,9,2
Mannheim,1949.78,0.55,350.81,82.64,1,40.37,115,3
M??nster,1706.47,0.48,137.45,940.24,1,52.86,18,1
Aachen,775.3,0.22,158.68,245.7,1,41.33,12,1
Copenhagen,4083.69,9.48,807.63,389.5,1,59.99,57,17
Tallinn,4326.3,9.96,254.44,1467.77,1,75.21,28,1
Madrid,11537.63,2.3,984.54,28.44,2,79.86,272,15
Barcelona,1362.03,0.27,415.27,2.5,3,77.27,75,13
Valencia,1474.97,0.29,191.05,16.07,1,51.6,56,1
Seville,4164.31,0.83,216.52,14.62,1,59.65,42,2
Zaragoza,11890.63,2.37,142.71,59.61,1,82.81,210,1
M??laga,1623.07,0.32,96.4,29.77,1,76.68,24,2
Las Palmas,790.06,0.16,61.93,86.43,1,72.68,16,2
Bilbao,1141.01,0.23,88.09,214.03,2,53.84,57,3
Helsinki,6350.71,2.09,790.19,81.93,1,70.05,22,4
Paris,12089.37,2.22,2416.36,94.14,5,79.47,1375,311
Lyon,3647.29,0.67,643.84,504.53,3,68.61,327,59
Marseille,4230.79,0.78,478.68,49.38,1,87.58,132,64
