idx,population,city,country,latitude,longitude
1,150178,Piedras Negras,Mexico,,
2,203007,Oxnard,USA,34.2023,-119.2046
3,163049,Desē,Ethiopia,11.15,39.66
4,147478,Torrance,USA,33.835,-118.3414
5,140000,Oturkpo,Nigeria,"7,195","8,136"
6,119647,Derbent,Russia,42.05,48.3
7,142579,Bima,Indonesia,,
8,22265426,Shanghai,China,31.2253441,121.4888922
9,350000,Cabinda,Angola,-5.6,12.19
10,205059,Akyab,Myanmar,"20,14","92,89"
11,198565,Kaolack,Senegal,"14,156","-16,077"
12,183274,Rewa,India,24.53,81.3
13,147273,Cienfuegos,Cuba,22.237978,-80.365865
14,116980,Zoetermeer,Netherlands,52.060669,4.494025
15,19610000,Beijing,China,39.9059093,116.3913489
16,13120596,Istanbul,Turkey,41.008929,28.967115
17,12478447,Mumbai,India,19.075984,72.877656
18,11969284,Karachi,Pakistan,24.861462,67.009939
19,11918057,MOSKVA,Russia,55.755826,37.6173
20,11895893,São Paulo,Brazil,-23.593318,-46.614033
21,11090314,Tianjin,China,39.1235635,117.1980785
22,11070654,Guangzhou,China,23.1300037,113.259001
23,11007835,Delhi,India,28.613939,77.209021
24,10590000,Lagos,Nigeria,"6,645","3,329"
25,10357938,Shenzhen,China,22.5342531,114.111748
26,9780644,Wuhan,China,30.5960213,114.2992796
27,9588198,Jakarta,Indonesia,-6.208763,106.845599
28,8851080,Mexico City,Mexico,19.432608,-99.133208
29,8637098,Tokyo,Japan,35.681382,139.766084
30,8425970,Bengaluru,India,12.971599,77.594563
31,8405837,New York,USA,40.6643,-73.9385
32,8305218,Bangkok,Thailand,13.756331,100.501765
33,8220937,Dongguan,China,23.0449275,113.7524781
34,8174100,London,United Kingdom,51.507351,-0.127758
35,8154051,Teheran,Iran,35.696111,51.423056
36,7947121,Cairo,Egypt,30.04442,31.235712
37,7677122,Chengdu,China,30.6765553,104.0612783
38,7674366,Bogotá,Colombia,4.701916,-74.144195
39,7457589,Chongqing,China,30.05518,107.8748712
40,7208618,Kinshasa,Democratic Republic of the Congo,-4.4,15.32
41,7208200,Ahmedabad,India,23.022505,72.571362
42,7165828,Nanjing,China,32.0609158,118.7916065
43,7123340,Hồ Chí Minh Stadt,Vietnam,10.823099,106.629664
44,7055071,Hong Kong,China,22.2793278,114.1628131
45,6809970,Hyderabad,India,17.385044,78.486671
46,6501189,Xi'an,China,34.2191582,109.110194631
47,6485175,Lahore,Pakistan,31.473178,74.302767
48,6453682,Rio de Janeiro,Brazil,-22.913693,-43.171828
49,6448837,Hà Nội,Vietnam,21.027764,105.83416
50,6280000,Onitsha,Nigeria,"6,113","6,790"
51,6255921,Shenyang,China,41.8045293,123.4277858
52,6242000,Hangzhou,China,30.2665643,120.149335
53,5831541,Bagdad,Iraq,33.325,44.422
54,5644235,Dhaka,Bangladesh,23.7282161,90.4098792
55,5399200,Singapore,Singapore,1.280095,103.850949
56,5349090,Suzhou,China,31.2984758,120.622239
57,5289364,Caracas,Venezuela,10.46964,-66.803718
58,5230000,Luanda,Angola,-8.87,13.28
